a,b
sour mix,кислый
bottled,бутылированный
homemade,домашнего приготовления
regular,"обычный, обычное"
light,легкий
powder,порошок
ground,молотый
dry,высушенный
sweet,сладкий
cooler,охлажденное
cooking,приготовленный
distilled,дистиллированный
carbohydrate-modified,углеводомодифицированный
draught,бочковое
flavoured,приправленный
home-brewed,домашнего приготовления
full-strength,крепкое пиво
reduced alcohol,безалкогольное
mid-strength,пиво средней крепкости
"lager (Beer, lager)",светлое
not futher defined,общий
stout,стаут
root beer,корневое пиво
non-alcoholic,безалкогольное
cooked,приговленный
draught style,разливное пиво
dry style,сухое
sweet style,сладкое
cream based,кремовая основа
non-coffee,без кофеина
pre-mixed,предварительно смешанное
commercial,магазинный
non-cola,без колы
soft drink,Безалкогольный напиток
home-mixed,смешанный дома
dark & light coloured,темные и светлые
intense sweetened,сильно сладкий
fruit juice blend,мульфруктовый
sparkling,газированный
de-alcoholised,безалкогольный
dried,высушенный
boiled,отварной
microwaved,приготовленный в микроволновой печи
steamed,приготовленный на пару
drained,без жидкости
fresh,свежий
raw,сырой
salted,подсоленный
unsalted,без соли
dehydrated,дегедрированный
with salt,с солью
without salt,без соли
common,общий
dry,сухой
added,с добавками
no added,без добавок
frozen,замороженный
baked,запеченный
roasted,обжаренный
fried,жаренный
stir-fried,стир-фрай
grilled,на гриле
BBQ'd,барбекю
rehydrated,регидрированный
baby,для детей
large,большой
stewed,тушеный
casseroled,запеченый
poached,пашот
chopped,порезанный
peeled,очищенный
unpeeled,не очищенный
stuffed,фаршированный
pickled,маринованный
unfilled,незаполненные
jar ,в стеклянной банке
uncooked,не приготовленный
Mashed,размятый
meatless,постный
refried beans,пережаренные бобы
on the border,на границе
par-fried,во фритюре
topping,топпинг
breaded,в панировке
sauteed,обжаренные в сотейнике
oriental mix,восточный микс
flesh,мякоть
blended oil,смешанное масло
monounsaturated,мононасыщенный
deep fried,сильно общаренный
dairy blend,молочная смесь
cross cut,порезанный поперек
shoestring,порезанный полосками
filled with,наполненный
toasted,тосты
unfortified,без добавок
BEV,напитки
LT,легкий
LO CARB,низкоуглеводный
REG,обычная
CND,консервированный
DSSRT,десртный
SOY PROT CONC,концентрат соевого белка
CKD,приготовленный
BLD,отварной
W/ SALT,с солью
WO/ SALT,без соли
DRND,высушенный 
GRN,зеленый
FRZ,замороженный
YEL,желтый
PREP,приготовленный
UNPREP,не приготовленный
SD,семена
INCL,включают в себя
IMMAT,незрелый
ENR,обогащенный
UNENR,без добавок
FRENCH FR,картофель фри
W/ BNS,с бобами
CHOPD,порезанный
HOME PREP,приготовленный дома
RED,сниженный
TOAST STKS,тосты
STMD,приготовленный на пару
SKN,кожа
FR FR,картофель фри
AS PRCH,как после покупки
RTE,готовый к употреблению
STK CUT,порезанный кусками
STK FRIES,картофель фри кусочками
ADDED IN PROC,добавленно в процессе
OVEN-HTD,разогретый
OVEN-UNHTD,не разогретый 
PAR FR,полупрожаренный
WHL,цельный
REFR,пережаренный
FRCH FR,картофель фри
MSHD,размятый
HASH BRN,дранник
RSTD,жаренный
SD KRNLS,семена
CKD,приготовленный
UNCKD,не приготовленный
VEG,овощ
STWD,тушенный
TSTD,легко обжаренный
W/ H2O,с водой
PLN,без добавок
CRL,зерновой
MXD,смешанный
SAUC,соус
CHS,сыр
APPL,яблоко
W/CA,с добавлением кальция
CRMD,сбитое
